lake_id,lake_name,lake_area (m2),lake_elevation (m),lake_juris_name,lake_max_depth (m),lake_utm_east,lake_utm_north,survey_date,benthic_sample,fish_presence,max_survey_date,ramurasi
70536,"MCCABE LAKE, MIDDLE",44564,3115,YOSEMITE,16,294910,4207450,7/10/00,Yes,Yes,9/5/13,Yes
70538,TEN LAKES #4,44597,2813,YOSEMITE,13.5,277706,4197200,6/21/00,Yes,Yes,6/21/00,No
70539,,44624,2277,YOSEMITE,21.5,269439,4209540,7/10/00,Yes,No,7/10/00,No
70545,LITTLE OTTER LAKE,39636,2702,YOSEMITE,10.5,267012,4218050,9/23/00,Yes,No,8/5/12,Yes
70547,TABLE LAKE,46606,2148,YOSEMITE,18,274831,4207030,7/4/00,Yes,Yes,7/4/00,No
70548,,46615,2251,YOSEMITE,6.75,260764,4214390,9/27/00,Yes,No,8/5/12,Yes
70550,SKELTON LAKES,47097,3200,YOSEMITE,11.3,297415,4200760,8/24/01,Yes,No,8/9/17,Yes
70552,,47270,2146,YOSEMITE,18.5,254169,4216650,7/12/00,Yes,Yes,8/8/13,Yes
70558,"PENNINSULA LAKE, UPPER",49310,2771,YOSEMITE,6,265022,4220370,8/27/00,Yes,No,6/24/12,Yes
70565,HARDEN LAKE,50716,2281,YOSEMITE,4.1,264733,4197600,6/16/01,Yes,No,6/16/01,No
70566,,50949,2566,YOSEMITE,10.5,262026,4217780,8/24/00,Yes,No,8/24/00,No
70567,,51141,3206,YOSEMITE,7,297264,4177840,8/22/01,Yes,No,8/31/17,Yes
70572,CRESCENT LAKE,52656,2557,YOSEMITE,2,276251,4160510,6/22/01,Yes,No,6/22/01,No
70575,,54258,3262,YOSEMITE,21.5,299645,4175650,8/20/01,Yes,No,8/20/01,No
70576,ARNDT LAKE,55976,2815,YOSEMITE,18,280325,4217170,8/31/00,Yes,Yes,8/31/00,No
70578,DOE LAKE,56917,2800,YOSEMITE,24,283415,4212680,8/13/00,Yes,Yes,8/13/00,No
70583,RED DEVIL LAKE,60799,2970,YOSEMITE,14,289483,4171310,7/29/01,Yes,No,7/26/14,Yes
70585,IRWIN BRIGHT LAKE,61269,2158,YOSEMITE,20,275200,4207710,7/5/00,Yes,Yes,7/5/00,No
70586,,61813,2199,YOSEMITE,12.5,270419,4210140,7/8/00,Yes,No,7/8/00,No
70587, ,62654,1746,YOSEMITE,11.4,256572,4213860,8/21/00,Yes,Yes,8/21/00,No
70588,"OTTOWAY LAKE, UPPER",63642,3170,YOSEMITE,20,287828,4168690,7/12/01,Yes,No,7/12/01,No
70590,,64424,1771,YOSEMITE,17.3,256222,4214260,8/20/00,Yes,No,8/20/00,No
70591,,64438,3178,YOSEMITE,12.5,286657,4170890,7/15/01,Yes,No,7/15/01,No
70593,POLLY DOME LAKES,65243,2652,YOSEMITE,3.5,283974,4193260,7/2/01,Yes,No,7/2/01,No
70594,SWAMP LAKE,66493,1529,YOSEMITE,14.1,251415,4204080,8/2/00,Yes,No,8/15/14,No
70595,FLORA LAKE,69152,2108,YOSEMITE,20.5,253614,4215040,7/14/00,Yes,No,7/14/00,No
70596,MATTIE LAKE,69708,2811,YOSEMITE,12,285597,4201280,6/27/00,Yes,Yes,8/28/17,No
70597,,70077,2790,YOSEMITE,24,273925,4212670,8/26/00,Yes,No,7/13/14,Yes
70598,,70168,2604,YOSEMITE,5,262617,4218070,8/28/00,Yes,No,8/28/00,No
70600,"OTTOWAY LAKE, LOWER",73500,2942,YOSEMITE,13,286590,4168980,7/12/01,Yes,Yes,7/12/01,No
70603,,74528,1732,YOSEMITE,17.5,255677,4213720,8/20/00,Yes,No,8/20/00,No
70604,MIWOK LAKE,75582,2490,YOSEMITE,21.5,262984,4215460,9/24/00,Yes,Yes,8/12/13,No
